Set,automation_rate,n_automated,n_escalated,accuracy_automated,precision_automated,recall_automated,f1_automated,accuracy_escalated_if_automated,false_positive_cost,false_negative_cost,escalation_cost,total_cost,baseline_cost,cost_savings,n_false_positives,n_false_negatives
Validation (Initial),0.2230635716874249,23390,81468,0.7853783668234288,0.42743452467081466,0.7353746577047547,0.5406295754026355,0.5757475327736044,19785.0,1063.0,40734.0,61582.0,167395.0,105813.0,3957,1063
Validation (Optimized),0.038795323198992926,4068,100790,0.9542772861356932,0.6416184971098265,0.4723404255319149,0.5441176470588235,0.6091179680523862,310.0,124.0,50395.0,50829.0,167395.0,116566.0,62,124
Test,0.03906253725293851,8192,201523,0.9559326171875,0.6052631578947368,0.38609112709832133,0.47144948755490484,0.6099998511336175,525.0,256.0,100761.5,101542.5,334595.0,233052.5,105,256
