uncertainty_threshold,confidence_threshold,total_cost,cost_savings,automation_rate,n_escalated,accuracy_automated
0.25,0.8285714285714285,50829.0,116566.0,0.038795323198992926,100790,0.9542772861356932
0.20714285714285718,0.8285714285714285,50829.0,116566.0,0.038795323198992926,100790,0.9542772861356932
0.2357142857142857,0.8285714285714285,50829.0,116566.0,0.038795323198992926,100790,0.9542772861356932
0.15000000000000002,0.8285714285714285,50829.0,116566.0,0.038795323198992926,100790,0.9542772861356932
0.10714285714285715,0.8285714285714285,50829.0,116566.0,0.038795323198992926,100790,0.9542772861356932
0.13571428571428573,0.8285714285714285,50829.0,116566.0,0.038795323198992926,100790,0.9542772861356932
0.22142857142857142,0.8285714285714285,50829.0,116566.0,0.038795323198992926,100790,0.9542772861356932
0.09285714285714286,0.8285714285714285,50829.0,116566.0,0.038795323198992926,100790,0.9542772861356932
0.1785714285714286,0.8285714285714285,50829.0,116566.0,0.038795323198992926,100790,0.9542772861356932
0.1642857142857143,0.8285714285714285,50829.0,116566.0,0.038795323198992926,100790,0.9542772861356932
0.1928571428571429,0.8285714285714285,50829.0,116566.0,0.038795323198992926,100790,0.9542772861356932
0.12142857142857144,0.8285714285714285,50829.0,116566.0,0.038795323198992926,100790,0.9542772861356932
0.07857142857142857,0.8285714285714285,50830.0,116565.0,0.038776249785424044,100792,0.9542547958681751
0.0642857142857143,0.8285714285714285,50834.5,116560.5,0.0386522725972267,100805,0.9546015297310634
0.05,0.8285714285714285,50859.5,116535.5,0.038175437258006095,100855,0.9540344741443917
0.22142857142857142,0.8071428571428572,50893.0,116502.0,0.05392054015907222,99204,0.9280155642023347
0.20714285714285718,0.8071428571428572,50893.0,116502.0,0.05392054015907222,99204,0.9280155642023347
0.1928571428571429,0.8071428571428572,50893.0,116502.0,0.05392054015907222,99204,0.9280155642023347
0.1785714285714286,0.8071428571428572,50893.0,116502.0,0.05392054015907222,99204,0.9280155642023347
0.2357142857142857,0.8071428571428572,50893.0,116502.0,0.05392054015907222,99204,0.9280155642023347
0.25,0.8071428571428572,50893.0,116502.0,0.05392054015907222,99204,0.9280155642023347
0.15000000000000002,0.8071428571428572,50893.0,116502.0,0.05392054015907222,99204,0.9280155642023347
0.13571428571428573,0.8071428571428572,50893.0,116502.0,0.05392054015907222,99204,0.9280155642023347
0.1642857142857143,0.8071428571428572,50893.0,116502.0,0.05392054015907222,99204,0.9280155642023347
0.12142857142857144,0.8071428571428572,50893.5,116501.5,0.05391100345228783,99205,0.9280028303555634
0.10714285714285715,0.8071428571428572,50894.0,116501.0,0.053901466745503446,99206,0.9279900920028309
0.09285714285714286,0.8071428571428572,50894.0,116501.0,0.053901466745503446,99206,0.9279900920028309
0.07857142857142857,0.8071428571428572,50896.0,116499.0,0.05386331991836579,99210,0.9279390934844193
0.0642857142857143,0.8071428571428572,50904.0,116491.0,0.05367258578267753,99230,0.9280383795309168
0.05,0.8071428571428572,50943.5,116451.5,0.052881039119571205,99313,0.927321911632101
0.12142857142857144,0.85,51141.0,116254.0,0.027160540922008813,102010,0.9691011235955056
0.09285714285714286,0.85,51141.0,116254.0,0.027160540922008813,102010,0.9691011235955056
0.1642857142857143,0.85,51141.0,116254.0,0.027160540922008813,102010,0.9691011235955056
0.15000000000000002,0.85,51141.0,116254.0,0.027160540922008813,102010,0.9691011235955056
0.13571428571428573,0.85,51141.0,116254.0,0.027160540922008813,102010,0.9691011235955056
0.1928571428571429,0.85,51141.0,116254.0,0.027160540922008813,102010,0.9691011235955056
0.10714285714285715,0.85,51141.0,116254.0,0.027160540922008813,102010,0.9691011235955056
0.1785714285714286,0.85,51141.0,116254.0,0.027160540922008813,102010,0.9691011235955056
0.25,0.85,51141.0,116254.0,0.027160540922008813,102010,0.9691011235955056
0.20714285714285718,0.85,51141.0,116254.0,0.027160540922008813,102010,0.9691011235955056
0.2357142857142857,0.85,51141.0,116254.0,0.027160540922008813,102010,0.9691011235955056
0.22142857142857142,0.85,51141.0,116254.0,0.027160540922008813,102010,0.9691011235955056
0.07857142857142857,0.85,51141.5,116253.5,0.027151004215224428,102011,0.9690902704601335
0.0642857142857143,0.85,51144.5,116250.5,0.027074710560949122,102019,0.969355406833392
0.05,0.85,51159.0,116236.0,0.026798146064201056,102048,0.9690391459074733
0.1785714285714286,0.7857142857142857,51251.5,116143.5,0.0743958496252074,97057,0.8991154980130752
0.22142857142857142,0.7857142857142857,51251.5,116143.5,0.0743958496252074,97057,0.8991154980130752
0.1642857142857143,0.7857142857142857,51251.5,116143.5,0.0743958496252074,97057,0.8991154980130752
0.13571428571428573,0.7857142857142857,51251.5,116143.5,0.0743958496252074,97057,0.8991154980130752
0.1928571428571429,0.7857142857142857,51251.5,116143.5,0.0743958496252074,97057,0.8991154980130752
0.20714285714285718,0.7857142857142857,51251.5,116143.5,0.0743958496252074,97057,0.8991154980130752
0.15000000000000002,0.7857142857142857,51251.5,116143.5,0.0743958496252074,97057,0.8991154980130752
0.2357142857142857,0.7857142857142857,51251.5,116143.5,0.0743958496252074,97057,0.8991154980130752
0.25,0.7857142857142857,51251.5,116143.5,0.0743958496252074,97057,0.8991154980130752
0.12142857142857144,0.7857142857142857,51252.0,116143.0,0.07438631291842301,97058,0.8991025641025641
0.10714285714285715,0.7857142857142857,51252.5,116142.5,0.07437677621163863,97059,0.8990896268752404
0.09285714285714286,0.7857142857142857,51252.5,116142.5,0.07437677621163863,97059,0.8990896268752404
0.07857142857142857,0.7857142857142857,51255.0,116140.0,0.07432909267771648,97064,0.8990248909417501
